"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\class.rs", "Rust", 79, 0, 8, 87
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\class\change.rs", "Rust", 6, 0, 0, 6
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\class\change\gender_lock.rs", "Rust", 28, 0, 5, 33
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\class\change\level.rs", "Rust", 115, 1, 15, 131
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\class\flag.rs", "Rust", 6, 0, 1, 7
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\class\move_type.rs", "Rust", 4, 0, 1, 5
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\class\skill.rs", "Rust", 23, 1, 6, 30
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\combat.rs", "Rust", 12, 0, 1, 13
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\combat\ai.rs", "Rust", 18, 0, 1, 19
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\combat\battle_info.rs", "Rust", 25, 0, 5, 30
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\combat\engage_count.rs", "Rust", 9, 0, 2, 11
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\combat\no_dynlv.rs", "Rust", 17, 1, 2, 20
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\combat\silence.rs", "Rust", 55, 1, 4, 60
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\combat\skill_point.rs", "Rust", 9, 0, 1, 10
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\item.rs", "Rust", 92, 0, 8, 100
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\item\check_use.rs", "Rust", 50, 1, 4, 55
"c:\Users\Mercedes\Documents\VSCode Projects\IFmodPlugins\src\item\flag.rs", "Rust", 2, 0, 1, 3
